CLASS,SMALL_OFFICE
HEADER,ENDUSE,DENSITY,DEMAND,ELECTRONIC,MOTORA,MOTORB,MOTORC,MOTORD,IP,IQ,PP,PQ,ZP,ZQ,PF
COMPOSITION,HEATING,0.01,0.1,0,0.3,0,0,0,0,0,0,0,0.7,0,1
COMPOSITION,COOLING,0.98,9.8,0.15,0.7,0,0.15,0,0,0,0,0,0,0,1
COMPOSITION,VENTILATION,0.34,3.4,0,0,1,0,0,0,0,0,0,0,0,1
COMPOSITION,HOTWATER,0.07,0.7,0,0,0,0,0,0,0,0,0,1,0,1
COMPOSITION,COOKING,0.04,0.4,0,0,0,0,0,0,0,0,0,1,0,1
COMPOSITION,REFRIGERATION,0.08,0.8,0,0.85,0,0,0.15,0,0,0,0,0,0,1
COMPOSITION,OUTDOOR_LIGHTS,0,0,0,0,0,0,0,1,0,0,0,0,0,1
COMPOSITION,INDOOR_LIGHTS,1.05,10.5,0,0,0,0,0,1,0,0,0,0,0,1
COMPOSITION,OFFICE_EQUIPMENT,0.49,4.9,1,0,0,0,0,0,0,0,0,0,0,1
COMPOSITION,MISCELLANEOUS,0.24,2.4,0,0,0,0,0,0,0,0,0,1,0,1
COMPOSITION,PROCESS,0.01,0.1,0.3,0,0.2,0.4,0,0,0,0,0,0.1,0,1
COMPOSITION,MOTORS,0.24,2.4,0,0,0,0,1,0,0,0,0,0,0,1
COMPOSITION,COMPRESSORS,0.16,1.6,0,0,0,0,1,0,0,0,0,0,0,1
NORMALIZE,FLOORAREA,165,326,330,219,337,339,267,362,359,286,50,79,62,3180
HEADER,CEUSCODE,HEATING,COOLING,VENTILATION,HOTWATER,COOKING,REFRIGERATION,OUTDOOR_LIGHTS,INDOOR_LIGHTS,OFFICE_EQUIPMENT,MISCELLANEOUS,PROCESS,MOTORS,COMPRESSORS,TOTAL
DATA,1209,22.25164453,58.94391797,92.57714844,15.10154102,11.5879209,25.45643945,0,333.9099688,157.0194844,57.49644141,0.36080481,15.73450488,8.982961914,799
DATA,1210,15.38360156,111.5932813,103.1043125,17.31307813,13.82942676,26.28583398,0,382.0906563,175.85675,65.65114063,0.380728973,17.47644531,9.863527344,939
DATA,1211,10.83416016,164.3743438,104.8815859,17.67197461,14.30991992,26.51086719,0,388.6612813,181.2065781,67.51057813,0.388873901,18.05366016,10.21518359,1005
DATA,1212,7.461659668,210.0703906,106.4427344,17.45796094,14.27998145,26.52525586,0,378.9339063,179.2140156,67.48305469,0.389340881,18.14654883,10.26711719,1037
DATA,1213,5.18992334,248.4275938,107.7112422,17.67060352,14.01549902,26.47929883,0,375.7037813,177.0797969,67.30639063,0.389340881,18.15566992,10.2739707,1068
DATA,1214,4.180710449,279.166375,108.8047969,17.3495,13.61182617,26.3602793,0,378.1706563,174.66175,66.90614844,0.38880127,18.13456641,10.17397168,1098
DATA,1215,3.684127197,298.5292813,109.8283203,17.00656445,12.65972363,26.09191992,0,377.5072188,170.4386094,64.65555078,0.377591553,17.72447656,9.553222656,1108
DATA,1216,4.308739258,280.9745,108.8868516,16.50096484,10.77041211,25.6523457,0,357.4625625,159.212625,59.23365234,0.332165863,16.03121191,8.221496094,1048
DATA,1217,4.736145508,213.8161875,104.3601484,15.63008887,7.877406738,24.90284375,0.396761047,303.5877188,139.3270625,50.0824375,0.244949081,12.7718916,6.020274414,884
DATA,1218,6.644890625,123.3039141,87.56995313,14.16402344,4.376154785,23.99181445,35.68947266,243.6125781,99.7756875,37.87919531,0.141558548,9.155946289,3.718299072,690
DATA,1219,3.616276123,41.86992578,45.38458984,12.11161426,1.999407227,23.22936133,71.0345,180.2305625,69.80021875,27.32131836,0.061630257,6.733521973,2.221762695,486
